,Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
29,30,South Lawndale,30.7,54.8,0.21,4.19,13.86,2.44,0.0,0.36,7.77,0.78,2.27,0.01,0.18,0.0,0.29,0.05,0.04,0.38,2.86,4.72,0.04,0.76,0.0,4.28,0.0,0.0,1.41,2.82,0.32,0.01,9.61,1.24
30,31,Lower West Side,25.8,40.7,0.22,5.36,12.4,2.34,0.03,0.49,10.62,1.7,2.91,0.0,0.11,0.0,0.08,0.03,0.0,0.27,4.47,3.53,0.0,0.46,0.0,3.83,0.05,0.0,1.16,1.7,0.43,0.05,14.58,1.08
31,32,Loop,14.7,3.1,0.22,13.15,31.91,3.88,0.0,0.66,15.05,13.68,41.8,0.0,0.09,0.0,0.35,0.31,0.0,0.4,3.27,5.3,0.0,0.71,0.0,10.42,0.93,0.0,3.31,8.56,1.32,0.09,178.64,0.31
32,33,Near South Side,13.8,7.4,0.05,4.43,15.35,2.9,0.05,0.37,9.65,5.8,11.71,0.0,0.11,0.0,0.21,0.11,0.0,0.11,2.9,1.74,0.05,0.79,0.0,5.12,0.11,0.0,0.53,3.06,0.58,0.16,32.24,0.42
33,34,Armour Square,40.1,34.5,0.07,3.58,13.68,3.44,0.0,0.56,8.42,2.67,7.09,0.14,0.07,0.0,0.14,0.0,0.0,0.14,4.14,3.09,0.0,0.28,0.0,2.24,0.0,0.0,0.42,7.37,0.14,0.0,16.84,0.91
34,35,Douglas,29.6,14.3,0.16,9.57,26.7,2.91,0.0,0.58,13.48,5.76,10.31,0.0,0.16,0.05,0.21,0.0,0.11,0.05,5.6,6.24,0.0,0.85,0.0,8.88,0.05,0.05,0.9,4.71,0.48,0.0,33.79,1.22
35,36,Oakland,39.7,18.4,0.17,9.3,19.29,3.1,0.0,1.03,13.95,3.1,7.06,0.0,0.52,0.0,0.0,0.0,0.0,0.0,6.54,3.44,0.17,1.38,0.0,8.78,0.0,0.0,0.34,4.65,0.34,0.0,24.11,1.21
36,37,Fuller Park,51.2,26.6,0.72,20.22,61.01,11.55,0.0,1.44,30.69,9.39,17.69,0.0,1.08,0.0,3.61,0.36,0.36,0.0,10.11,26.35,0.0,3.25,0.0,17.69,0.0,0.0,2.17,18.41,1.08,0.0,57.04,8.66
37,38,Grand Boulevard,29.3,15.9,0.18,9.96,30.15,5.43,0.0,0.58,16.78,3.1,7.85,0.0,0.31,0.0,0.18,0.04,0.18,0.04,6.77,7.67,0.04,0.99,0.0,8.61,0.45,0.0,0.63,6.86,0.49,0.13,31.32,1.7
38,39,Kenwood,21.7,11.3,0.11,4.94,13.94,3.11,0.0,0.39,8.22,2.0,6.11,0.0,0.22,0.0,0.06,0.0,0.0,0.0,4.11,3.17,0.0,0.5,0.0,5.39,0.0,0.0,0.39,4.55,0.33,0.0,17.05,0.89
