,Primary Type,Community Area,Year,Latitude,Longitude
818930,HOMICIDE,67,2015,41.773075098,-87.665311546
819015,HOMICIDE,30,2015,41.848757483,-87.69535891299999
819095,HOMICIDE,53,2015,41.684114564,-87.625303429
819185,HOMICIDE,61,2015,41.797143883000004,-87.64280084
819268,HOMICIDE,68,2015,41.786966991,-87.649040897
819440,HOMICIDE,44,2015,41.743997966,-87.603308578
819529,HOMICIDE,14,2015,41.967464509,-87.713337286
819614,HOMICIDE,53,2015,41.674720656999995,-87.620413624
819771,HOMICIDE,68,2015,41.77526924,-87.648314721
819915,HOMICIDE,29,2015,41.853445736,-87.728523633
819988,HOMICIDE,63,2015,41.799841911,-87.702515527
820066,HOMICIDE,23,2015,41.895875266,-87.722426654
820129,HOMICIDE,61,2015,41.803317163,-87.65176443799999
820547,HOMICIDE,25,2015,41.875876775,-87.74533490700001
820838,HOMICIDE,73,2015,41.726951156999995,-87.6425053
820919,HOMICIDE,68,2015,41.762801362,-87.652842156
821174,HOMICIDE,25,2015,41.912160756,-87.76431955700001
821256,HOMICIDE,42,2015,41.774837374,-87.61271071899999
821345,HOMICIDE,69,2015,41.770126144,-87.614578025
821434,HOMICIDE,71,2015,41.742296704,-87.65715896799999
821513,HOMICIDE,71,2015,41.753083153,-87.672001986
821585,HOMICIDE,61,2015,41.795211551,-87.66218827200001
821666,HOMICIDE,61,2015,41.799227087,-87.646511957
821737,HOMICIDE,25,2015,41.905790098000004,-87.762954459
821829,HOMICIDE,24,2015,41.913349501999996,-87.663200531
821911,HOMICIDE,25,2015,41.900939281999996,-87.753292795
821993,HOMICIDE,25,2015,41.898883465,-87.748348943
822160,HOMICIDE,69,2015,41.761252657,-87.613951329
822332,HOMICIDE,68,2015,41.764737154,-87.641531954
822416,HOMICIDE,26,2015,41.87302808,-87.731529756
822506,HOMICIDE,30,2015,41.853732894000004,-87.696854787
822577,HOMICIDE,68,2015,41.786969135999996,-87.630307356
822658,HOMICIDE,68,2015,41.786969135999996,-87.630307356
822928,HOMICIDE,47,2015,41.730603777,-87.597408058
823006,HOMICIDE,3,2015,41.964235418,-87.654773202
1631037,HOMICIDE,25,2015,41.886368384,-87.758959007
2623930,HOMICIDE,27,2015,41.875909279,-87.70283655799999
2623931,HOMICIDE,27,2015,41.875909279,-87.70283655799999
2660508,HOMICIDE,15,2015,41.944279991,-87.766698991
2675006,HOMICIDE,27,2015,41.875457866,-87.71012957299999
2675706,HOMICIDE,32,2015,41.88693095,-87.63018934
2681477,HOMICIDE,19,2015,41.931149149,-87.775157527
2703702,HOMICIDE,44,2015,41.744277684000004,-87.62564686299999
2723940,HOMICIDE,75,2015,41.696554057,-87.647382098
3574436,HOMICIDE,49,2015,41.691583891,-87.630995465
3648990,HOMICIDE,77,2015,41.9862963,-87.65528197200001
3654138,HOMICIDE,69,2015,41.766836507,-87.616898425
6141293,HOMICIDE,67,2015,41.777198547,-87.664157893
6162264,HOMICIDE,25,2015,41.910117898,-87.746104545
6162530,HOMICIDE,25,2015,41.910117898,-87.746104545
